cancion_id,Nombre,AlbumPic
1,La tóxica,latoxica.jpg
2,Tusa,tusa.jpg
3,Soltera(Remix),solteraremix.jpg
4,China,china.jpg
5,La Canción,oasis_lacancion.jpg
6,Ocean,ocean.jpg
7,Secreto,secreto.webp
8,DJ No Pare,djnopare.png
9,Otro Trago,sueños_otrotrago.jpg
10,Criminal,criminal.jpg
11,WikiWiki,lamision4.jpg
12,Baila baila baila - Remix,bailabailabaila.png
13,Un Beso,godsproject_unbeso.jpg
14,Cómo se siente - Remix,comosesiente.jpg
15,Dale,thelastdon_dale.jpg
16,Bichota,bichota.jpg
17,La Jeepeta,lajeepeta.jpg
18,El Makinon,kg0516_elmakinon.png
19,Fiel,fiel.jpg
20,Automático,automatico.jpeg
21,Bellaquita(Remix),bellaquita.jpg
22,Con Altura,conaltura.png
23,Downtown,downtown.jpg
25,Yo Perreo Sola,yoperreosola.jpg
26,Relación-Remix,relacionremix.jpg
27,Safaera,yoperreosola.jpg
28,Calma(Remix),calmaremix.jpg
29,Despacito,despacito.jpg
30,Déjala Volar,dejalavolar.jpg
31,Volví,volvi.jpg
32,Gasolina,gasolina.png
34,Bubalu,bubalu.jpg
35,El Farsante,elfarsante.jpg
36,En Alta,enalta.jpg
37,Dile,thelastdon_dale.jpg
38,Pa Mi – Remix,pamiremix.jpg
39,Ai se eu te pego,aiseeutepego.jpg
40,Se le ve,seleve.jpg
41,Tu Pollo,tupollo.jpg
42,Tocando Fondo,aerosoul.jpg
43,Amanece,amanece.jpg
44,Sin Pijama,malasanta.jpg
45,Triple S,felicilandia.jpg
46,Mayores,malasanta.jpg
47,Problemon,problemon.jpg
48,Ojitos Chiquititos,kingofkings.jpg
49,Paranormal,data.jpg
50,Livin’ la vida loca,rickymartin.png
51,Ley Seca,timelezz.jpg
52,911,911.jpg
53,FINA,fina.jpg
54,Baby Father,babyfather.jpg
55,Frikitona,chosenfew.jpg
56,Monastery,monastery.jpg
57,Lejanía,lejania.jpg
58,Rakata,palmundo.jpg
59,Double Team,doubleteam.png
60,Bellakeo,bellakeo.jpg
61,Faldas y Gistros,faldasygistros.jpg
62,Otro día lluvioso,otrodialluvioso.jpg
63,TE SUPERÉ,malasanta.jpg
64,Te boté,tebote.jpg
65,Chulo,chulo.jpg
66,Calentón,calenton.jpg
67,Efecto,unveranosinti.jpg
68,Suelta,suelta.png
69,Cuando Será,primerdiadeclases.jpg
70,Pégate - Remix,primerdiadeclases.jpg
71,Travesuras,travesuras.jpg
72,Si Tu No Estas,situnoestas.jpg
73,LALA,lala.jpg
74,Noche de sexo,palmundo.jpg
75,El Efecto,elefecto.jpg
76,Pa que te lo gozen,whitelionhits.jpg
78,Amorfoda,amorfoda.jpg
79,La Falda,lafalda.webp
80,GODIVA,cassette01.png
81,Poblado - Remix,poblado.jpg
82,El Perdon,elperdonmix.jpg
83,Polaris - Remix,polaris.jpg
84,Supernova,supernova.jpg
85,Quien Dijo Amigos,quiendijoamigos.png
86,Me Porto Bonito,unveranosinti.jpg
87,Copas,copas.jpg
88,Si Te Pillo,sitepillo.jpg
89,Miénteme,mienteme.jpg
90,Elegi,elegi.jpg
